model,recording,joint,units,minimum,maximum,source,source_sha256
V1,swim,1,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,2,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,4,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,5,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,6,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,swim,7,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,0,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,1,logical degrees,45.0,100.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,2,logical degrees,25.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,4,logical degrees,0.0,80.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,5,logical degrees,170.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,6,logical degrees,0.0,145.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,point,7,logical degrees,180.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,1,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,3,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,4,logical degrees,0.0,0.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,5,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,6,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,pushup,7,logical degrees,180.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,1,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,3,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,4,logical degrees,0.0,0.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,5,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,6,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,bow,7,logical degrees,180.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,1,logical degrees,20.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,3,logical degrees,135.0,160.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,4,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,5,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,6,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,cute,7,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,1,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,3,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,4,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,5,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,6,logical degrees,0.0,0.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,freaky,7,logical degrees,180.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,0,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,1,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,2,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,3,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,4,logical degrees,0.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,5,logical degrees,45.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,6,logical degrees,0.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,worm,7,logical degrees,45.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,0,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,1,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,2,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,5,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,6,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shake,7,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,0,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,1,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,2,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,3,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,4,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,5,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,6,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,shrug,7,logical degrees,0.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,0,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,1,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,2,logical degrees,45.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,3,logical degrees,135.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,4,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,5,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,6,logical degrees,0.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,dead,7,logical degrees,90.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,0,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,1,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,2,logical degrees,45.0,90.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,3,logical degrees,90.0,135.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,4,logical degrees,0.0,45.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
V1,crab,5,logical degrees,135.0,180.0,Slave/software/assets/seed/motions-v1.json,958986b944646471065d5bc6e3586e698b0fed0921fbe2f482f914c1d6eeb5c7
