stride_percent,motion_rate_multiplier,nominal_speed_mm_s,cycle_advance_mm,frequency_hz,period_s,duty_fraction,nominal_stance_travel_mm,rearward_bias_mm
1,0.25,0.18253968253968259,1.3142857142857145,0.1388888888888889,7.199999999999999,0.7,0.92,0.3
1,0.5,0.36507936507936517,1.3142857142857145,0.2777777777777778,3.5999999999999996,0.7,0.92,0.3
1,1,0.7301587301587303,1.3142857142857145,0.5555555555555556,1.7999999999999998,0.7,0.92,0.3
1,1.5,1.0952380952380953,1.3142857142857145,0.8333333333333333,1.2000000000000002,0.7,0.92,0.3
1,2,1.4603174603174607,1.3142857142857145,1.1111111111111112,0.8999999999999999,0.7,0.92,0.3
1,3,2.1904761904761907,1.3142857142857145,1.6666666666666665,0.6000000000000001,0.7,0.92,0.3
2,0.25,0.36507936507936517,2.628571428571429,0.1388888888888889,7.199999999999999,0.7,1.84,0.6
2,0.5,0.7301587301587303,2.628571428571429,0.2777777777777778,3.5999999999999996,0.7,1.84,0.6
2,1,1.4603174603174607,2.628571428571429,0.5555555555555556,1.7999999999999998,0.7,1.84,0.6
2,1.5,2.1904761904761907,2.628571428571429,0.8333333333333333,1.2000000000000002,0.7,1.84,0.6
2,2,2.9206349206349214,2.628571428571429,1.1111111111111112,0.8999999999999999,0.7,1.84,0.6
2,3,4.380952380952381,2.628571428571429,1.6666666666666665,0.6000000000000001,0.7,1.84,0.6
3,0.25,0.5476190476190476,3.9428571428571426,0.1388888888888889,7.199999999999999,0.7,2.76,0.9
3,0.5,1.0952380952380951,3.9428571428571426,0.2777777777777778,3.5999999999999996,0.7,2.76,0.9
3,1,2.1904761904761902,3.9428571428571426,0.5555555555555556,1.7999999999999998,0.7,2.76,0.9
3,1.5,3.285714285714285,3.9428571428571426,0.8333333333333333,1.2000000000000002,0.7,2.76,0.9
3,2,4.3809523809523805,3.9428571428571426,1.1111111111111112,0.8999999999999999,0.7,2.76,0.9
3,3,6.57142857142857,3.9428571428571426,1.6666666666666665,0.6000000000000001,0.7,2.76,0.9
4,0.25,0.7301587301587303,5.257142857142858,0.1388888888888889,7.199999999999999,0.7,3.68,1.2
4,0.5,1.4603174603174607,5.257142857142858,0.2777777777777778,3.5999999999999996,0.7,3.68,1.2
4,1,2.9206349206349214,5.257142857142858,0.5555555555555556,1.7999999999999998,0.7,3.68,1.2
4,1.5,4.380952380952381,5.257142857142858,0.8333333333333333,1.2000000000000002,0.7,3.68,1.2
4,2,5.841269841269843,5.257142857142858,1.1111111111111112,0.8999999999999999,0.7,3.68,1.2
4,3,8.761904761904763,5.257142857142858,1.6666666666666665,0.6000000000000001,0.7,3.68,1.2
5,0.25,0.9126984126984127,6.571428571428571,0.1388888888888889,7.199999999999999,0.7,4.6,1.5
5,0.5,1.8253968253968254,6.571428571428571,0.2777777777777778,3.5999999999999996,0.7,4.6,1.5
5,1,3.6507936507936507,6.571428571428571,0.5555555555555556,1.7999999999999998,0.7,4.6,1.5
5,1.5,5.476190476190475,6.571428571428571,0.8333333333333333,1.2000000000000002,0.7,4.6,1.5
5,2,7.301587301587301,6.571428571428571,1.1111111111111112,0.8999999999999999,0.7,4.6,1.5
5,3,10.95238095238095,6.571428571428571,1.6666666666666665,0.6000000000000001,0.7,4.6,1.5
6,0.25,1.0952380952380951,7.885714285714285,0.1388888888888889,7.199999999999999,0.7,5.52,1.8
6,0.5,2.1904761904761902,7.885714285714285,0.2777777777777778,3.5999999999999996,0.7,5.52,1.8
6,1,4.3809523809523805,7.885714285714285,0.5555555555555556,1.7999999999999998,0.7,5.52,1.8
6,1.5,6.57142857142857,7.885714285714285,0.8333333333333333,1.2000000000000002,0.7,5.52,1.8
6,2,8.761904761904761,7.885714285714285,1.1111111111111112,0.8999999999999999,0.7,5.52,1.8
6,3,13.14285714285714,7.885714285714285,1.6666666666666665,0.6000000000000001,0.7,5.52,1.8
7,0.25,1.277777777777778,9.200000000000001,0.1388888888888889,7.199999999999999,0.7,6.44,2.1
7,0.5,2.555555555555556,9.200000000000001,0.2777777777777778,3.5999999999999996,0.7,6.44,2.1
7,1,5.111111111111112,9.200000000000001,0.5555555555555556,1.7999999999999998,0.7,6.44,2.1
7,1.5,7.666666666666667,9.200000000000001,0.8333333333333333,1.2000000000000002,0.7,6.44,2.1
7,2,10.222222222222223,9.200000000000001,1.1111111111111112,0.8999999999999999,0.7,6.44,2.1
7,3,15.333333333333334,9.200000000000001,1.6666666666666665,0.6000000000000001,0.7,6.44,2.1
8,0.25,1.4603174603174607,10.514285714285716,0.1388888888888889,7.199999999999999,0.7,7.36,2.4
8,0.5,2.9206349206349214,10.514285714285716,0.2777777777777778,3.5999999999999996,0.7,7.36,2.4
8,1,5.841269841269843,10.514285714285716,0.5555555555555556,1.7999999999999998,0.7,7.36,2.4
8,1.5,8.761904761904763,10.514285714285716,0.8333333333333333,1.2000000000000002,0.7,7.36,2.4
8,2,11.682539682539685,10.514285714285716,1.1111111111111112,0.8999999999999999,0.7,7.36,2.4
8,3,17.523809523809526,10.514285714285716,1.6666666666666665,0.6000000000000001,0.7,7.36,2.4
9,0.25,1.642857142857143,11.82857142857143,0.1388888888888889,7.199999999999999,0.7,8.28,2.7
9,0.5,3.285714285714286,11.82857142857143,0.2777777777777778,3.5999999999999996,0.7,8.28,2.7
9,1,6.571428571428572,11.82857142857143,0.5555555555555556,1.7999999999999998,0.7,8.28,2.7
9,1.5,9.857142857142858,11.82857142857143,0.8333333333333333,1.2000000000000002,0.7,8.28,2.7
9,2,13.142857142857144,11.82857142857143,1.1111111111111112,0.8999999999999999,0.7,8.28,2.7
9,3,19.714285714285715,11.82857142857143,1.6666666666666665,0.6000000000000001,0.7,8.28,2.7
10,0.25,1.8253968253968254,13.142857142857142,0.1388888888888889,7.199999999999999,0.7,9.2,3.0
10,0.5,3.6507936507936507,13.142857142857142,0.2777777777777778,3.5999999999999996,0.7,9.2,3.0
10,1,7.301587301587301,13.142857142857142,0.5555555555555556,1.7999999999999998,0.7,9.2,3.0
10,1.5,10.95238095238095,13.142857142857142,0.8333333333333333,1.2000000000000002,0.7,9.2,3.0
10,2,14.603174603174603,13.142857142857142,1.1111111111111112,0.8999999999999999,0.7,9.2,3.0
10,3,21.9047619047619,13.142857142857142,1.6666666666666665,0.6000000000000001,0.7,9.2,3.0
11,0.25,2.007936507936508,14.457142857142857,0.1388888888888889,7.199999999999999,0.7,10.12,3.3
11,0.5,4.015873015873016,14.457142857142857,0.2777777777777778,3.5999999999999996,0.7,10.12,3.3
11,1,8.031746031746032,14.457142857142857,0.5555555555555556,1.7999999999999998,0.7,10.12,3.3
11,1.5,12.047619047619047,14.457142857142857,0.8333333333333333,1.2000000000000002,0.7,10.12,3.3
11,2,16.063492063492063,14.457142857142857,1.1111111111111112,0.8999999999999999,0.7,10.12,3.3
11,3,24.095238095238095,14.457142857142857,1.6666666666666665,0.6000000000000001,0.7,10.12,3.3
12,0.25,2.1904761904761902,15.77142857142857,0.1388888888888889,7.199999999999999,0.7,11.04,3.6
12,0.5,4.3809523809523805,15.77142857142857,0.2777777777777778,3.5999999999999996,0.7,11.04,3.6
12,1,8.761904761904761,15.77142857142857,0.5555555555555556,1.7999999999999998,0.7,11.04,3.6
12,1.5,13.14285714285714,15.77142857142857,0.8333333333333333,1.2000000000000002,0.7,11.04,3.6
12,2,17.523809523809522,15.77142857142857,1.1111111111111112,0.8999999999999999,0.7,11.04,3.6
12,3,26.28571428571428,15.77142857142857,1.6666666666666665,0.6000000000000001,0.7,11.04,3.6
13,0.25,2.3730158730158735,17.08571428571429,0.1388888888888889,7.199999999999999,0.7,11.96,3.9
13,0.5,4.746031746031747,17.08571428571429,0.2777777777777778,3.5999999999999996,0.7,11.96,3.9
13,1,9.492063492063494,17.08571428571429,0.5555555555555556,1.7999999999999998,0.7,11.96,3.9
13,1.5,14.238095238095239,17.08571428571429,0.8333333333333333,1.2000000000000002,0.7,11.96,3.9
13,2,18.984126984126988,17.08571428571429,1.1111111111111112,0.8999999999999999,0.7,11.96,3.9
13,3,28.476190476190478,17.08571428571429,1.6666666666666665,0.6000000000000001,0.7,11.96,3.9
14,0.25,2.555555555555556,18.400000000000002,0.1388888888888889,7.199999999999999,0.7,12.88,4.2
14,0.5,5.111111111111112,18.400000000000002,0.2777777777777778,3.5999999999999996,0.7,12.88,4.2
14,1,10.222222222222223,18.400000000000002,0.5555555555555556,1.7999999999999998,0.7,12.88,4.2
14,1.5,15.333333333333334,18.400000000000002,0.8333333333333333,1.2000000000000002,0.7,12.88,4.2
14,2,20.444444444444446,18.400000000000002,1.1111111111111112,0.8999999999999999,0.7,12.88,4.2
14,3,30.666666666666668,18.400000000000002,1.6666666666666665,0.6000000000000001,0.7,12.88,4.2
15,0.25,2.738095238095238,19.714285714285715,0.1388888888888889,7.199999999999999,0.7,13.8,4.5
15,0.5,5.476190476190476,19.714285714285715,0.2777777777777778,3.5999999999999996,0.7,13.8,4.5
15,1,10.952380952380953,19.714285714285715,0.5555555555555556,1.7999999999999998,0.7,13.8,4.5
15,1.5,16.428571428571427,19.714285714285715,0.8333333333333333,1.2000000000000002,0.7,13.8,4.5
15,2,21.904761904761905,19.714285714285715,1.1111111111111112,0.8999999999999999,0.7,13.8,4.5
15,3,32.857142857142854,19.714285714285715,1.6666666666666665,0.6000000000000001,0.7,13.8,4.5
16,0.25,2.9206349206349214,21.028571428571432,0.1388888888888889,7.199999999999999,0.7,14.72,4.8
16,0.5,5.841269841269843,21.028571428571432,0.2777777777777778,3.5999999999999996,0.7,14.72,4.8
16,1,11.682539682539685,21.028571428571432,0.5555555555555556,1.7999999999999998,0.7,14.72,4.8
16,1.5,17.523809523809526,21.028571428571432,0.8333333333333333,1.2000000000000002,0.7,14.72,4.8
16,2,23.36507936507937,21.028571428571432,1.1111111111111112,0.8999999999999999,0.7,14.72,4.8
16,3,35.04761904761905,21.028571428571432,1.6666666666666665,0.6000000000000001,0.7,14.72,4.8
17,0.25,3.1031746031746037,22.342857142857145,0.1388888888888889,7.199999999999999,0.7,15.64,5.1
17,0.5,6.206349206349207,22.342857142857145,0.2777777777777778,3.5999999999999996,0.7,15.64,5.1
17,1,12.412698412698415,22.342857142857145,0.5555555555555556,1.7999999999999998,0.7,15.64,5.1
17,1.5,18.61904761904762,22.342857142857145,0.8333333333333333,1.2000000000000002,0.7,15.64,5.1
17,2,24.82539682539683,22.342857142857145,1.1111111111111112,0.8999999999999999,0.7,15.64,5.1
17,3,37.23809523809524,22.342857142857145,1.6666666666666665,0.6000000000000001,0.7,15.64,5.1
18,0.25,3.285714285714286,23.65714285714286,0.1388888888888889,7.199999999999999,0.7,16.56,5.4
18,0.5,6.571428571428572,23.65714285714286,0.2777777777777778,3.5999999999999996,0.7,16.56,5.4
18,1,13.142857142857144,23.65714285714286,0.5555555555555556,1.7999999999999998,0.7,16.56,5.4
18,1.5,19.714285714285715,23.65714285714286,0.8333333333333333,1.2000000000000002,0.7,16.56,5.4
18,2,26.28571428571429,23.65714285714286,1.1111111111111112,0.8999999999999999,0.7,16.56,5.4
18,3,39.42857142857143,23.65714285714286,1.6666666666666665,0.6000000000000001,0.7,16.56,5.4
19,0.25,3.468253968253969,24.971428571428575,0.1388888888888889,7.199999999999999,0.7,17.48,5.7
19,0.5,6.936507936507938,24.971428571428575,0.2777777777777778,3.5999999999999996,0.7,17.48,5.7
19,1,13.873015873015875,24.971428571428575,0.5555555555555556,1.7999999999999998,0.7,17.48,5.7
19,1.5,20.80952380952381,24.971428571428575,0.8333333333333333,1.2000000000000002,0.7,17.48,5.7
19,2,27.74603174603175,24.971428571428575,1.1111111111111112,0.8999999999999999,0.7,17.48,5.7
19,3,41.61904761904762,24.971428571428575,1.6666666666666665,0.6000000000000001,0.7,17.48,5.7
20,0.25,3.6507936507936507,26.285714285714285,0.1388888888888889,7.199999999999999,0.7,18.4,6.0
20,0.5,7.301587301587301,26.285714285714285,0.2777777777777778,3.5999999999999996,0.7,18.4,6.0
20,1,14.603174603174603,26.285714285714285,0.5555555555555556,1.7999999999999998,0.7,18.4,6.0
20,1.5,21.9047619047619,26.285714285714285,0.8333333333333333,1.2000000000000002,0.7,18.4,6.0
20,2,29.206349206349206,26.285714285714285,1.1111111111111112,0.8999999999999999,0.7,18.4,6.0
20,3,43.8095238095238,26.285714285714285,1.6666666666666665,0.6000000000000001,0.7,18.4,6.0
21,0.25,3.8333333333333335,27.6,0.1388888888888889,7.199999999999999,0.7,19.32,6.3
21,0.5,7.666666666666667,27.6,0.2777777777777778,3.5999999999999996,0.7,19.32,6.3
21,1,15.333333333333334,27.6,0.5555555555555556,1.7999999999999998,0.7,19.32,6.3
21,1.5,23.0,27.6,0.8333333333333333,1.2000000000000002,0.7,19.32,6.3
21,2,30.666666666666668,27.6,1.1111111111111112,0.8999999999999999,0.7,19.32,6.3
21,3,46.0,27.6,1.6666666666666665,0.6000000000000001,0.7,19.32,6.3
22,0.25,4.015873015873016,28.914285714285715,0.1388888888888889,7.199999999999999,0.7,20.24,6.6
22,0.5,8.031746031746032,28.914285714285715,0.2777777777777778,3.5999999999999996,0.7,20.24,6.6
22,1,16.063492063492063,28.914285714285715,0.5555555555555556,1.7999999999999998,0.7,20.24,6.6
22,1.5,24.095238095238095,28.914285714285715,0.8333333333333333,1.2000000000000002,0.7,20.24,6.6
22,2,32.12698412698413,28.914285714285715,1.1111111111111112,0.8999999999999999,0.7,20.24,6.6
22,3,48.19047619047619,28.914285714285715,1.6666666666666665,0.6000000000000001,0.7,20.24,6.6
23,0.25,4.198412698412699,30.22857142857143,0.1388888888888889,7.199999999999999,0.7,21.16,6.9
23,0.5,8.396825396825397,30.22857142857143,0.2777777777777778,3.5999999999999996,0.7,21.16,6.9
23,1,16.793650793650794,30.22857142857143,0.5555555555555556,1.7999999999999998,0.7,21.16,6.9
23,1.5,25.19047619047619,30.22857142857143,0.8333333333333333,1.2000000000000002,0.7,21.16,6.9
23,2,33.58730158730159,30.22857142857143,1.1111111111111112,0.8999999999999999,0.7,21.16,6.9
23,3,50.38095238095238,30.22857142857143,1.6666666666666665,0.6000000000000001,0.7,21.16,6.9
24,0.25,4.3809523809523805,31.54285714285714,0.1388888888888889,7.199999999999999,0.7,22.08,7.2
24,0.5,8.761904761904761,31.54285714285714,0.2777777777777778,3.5999999999999996,0.7,22.08,7.2
24,1,17.523809523809522,31.54285714285714,0.5555555555555556,1.7999999999999998,0.7,22.08,7.2
24,1.5,26.28571428571428,31.54285714285714,0.8333333333333333,1.2000000000000002,0.7,22.08,7.2
24,2,35.047619047619044,31.54285714285714,1.1111111111111112,0.8999999999999999,0.7,22.08,7.2
24,3,52.57142857142856,31.54285714285714,1.6666666666666665,0.6000000000000001,0.7,22.08,7.2
25,0.25,4.563492063492064,32.85714285714286,0.1388888888888889,7.199999999999999,0.7,23.0,7.5
25,0.5,9.126984126984128,32.85714285714286,0.2777777777777778,3.5999999999999996,0.7,23.0,7.5
25,1,18.253968253968257,32.85714285714286,0.5555555555555556,1.7999999999999998,0.7,23.0,7.5
25,1.5,27.380952380952383,32.85714285714286,0.8333333333333333,1.2000000000000002,0.7,23.0,7.5
25,2,36.50793650793651,32.85714285714286,1.1111111111111112,0.8999999999999999,0.7,23.0,7.5
25,3,54.761904761904766,32.85714285714286,1.6666666666666665,0.6000000000000001,0.7,23.0,7.5
26,0.25,4.746031746031747,34.17142857142858,0.1388888888888889,7.199999999999999,0.7,23.92,7.8
26,0.5,9.492063492063494,34.17142857142858,0.2777777777777778,3.5999999999999996,0.7,23.92,7.8
26,1,18.984126984126988,34.17142857142858,0.5555555555555556,1.7999999999999998,0.7,23.92,7.8
26,1.5,28.476190476190478,34.17142857142858,0.8333333333333333,1.2000000000000002,0.7,23.92,7.8
26,2,37.968253968253975,34.17142857142858,1.1111111111111112,0.8999999999999999,0.7,23.92,7.8
26,3,56.952380952380956,34.17142857142858,1.6666666666666665,0.6000000000000001,0.7,23.92,7.8
27,0.25,4.928571428571429,35.48571428571429,0.1388888888888889,7.199999999999999,0.7,24.84,8.1
27,0.5,9.857142857142858,35.48571428571429,0.2777777777777778,3.5999999999999996,0.7,24.84,8.1
27,1,19.714285714285715,35.48571428571429,0.5555555555555556,1.7999999999999998,0.7,24.84,8.1
27,1.5,29.57142857142857,35.48571428571429,0.8333333333333333,1.2000000000000002,0.7,24.84,8.1
27,2,39.42857142857143,35.48571428571429,1.1111111111111112,0.8999999999999999,0.7,24.84,8.1
27,3,59.14285714285714,35.48571428571429,1.6666666666666665,0.6000000000000001,0.7,24.84,8.1
28,0.25,5.111111111111112,36.800000000000004,0.1388888888888889,7.199999999999999,0.7,25.76,8.4
28,0.5,10.222222222222223,36.800000000000004,0.2777777777777778,3.5999999999999996,0.7,25.76,8.4
28,1,20.444444444444446,36.800000000000004,0.5555555555555556,1.7999999999999998,0.7,25.76,8.4
28,1.5,30.666666666666668,36.800000000000004,0.8333333333333333,1.2000000000000002,0.7,25.76,8.4
28,2,40.88888888888889,36.800000000000004,1.1111111111111112,0.8999999999999999,0.7,25.76,8.4
28,3,61.333333333333336,36.800000000000004,1.6666666666666665,0.6000000000000001,0.7,25.76,8.4
29,0.25,5.2936507936507935,38.114285714285714,0.1388888888888889,7.199999999999999,0.7,26.68,8.7
29,0.5,10.587301587301587,38.114285714285714,0.2777777777777778,3.5999999999999996,0.7,26.68,8.7
29,1,21.174603174603174,38.114285714285714,0.5555555555555556,1.7999999999999998,0.7,26.68,8.7
29,1.5,31.76190476190476,38.114285714285714,0.8333333333333333,1.2000000000000002,0.7,26.68,8.7
29,2,42.34920634920635,38.114285714285714,1.1111111111111112,0.8999999999999999,0.7,26.68,8.7
29,3,63.52380952380952,38.114285714285714,1.6666666666666665,0.6000000000000001,0.7,26.68,8.7
30,0.25,5.476190476190476,39.42857142857143,0.1388888888888889,7.199999999999999,0.7,27.6,9.0
30,0.5,10.952380952380953,39.42857142857143,0.2777777777777778,3.5999999999999996,0.7,27.6,9.0
30,1,21.904761904761905,39.42857142857143,0.5555555555555556,1.7999999999999998,0.7,27.6,9.0
30,1.5,32.857142857142854,39.42857142857143,0.8333333333333333,1.2000000000000002,0.7,27.6,9.0
30,2,43.80952380952381,39.42857142857143,1.1111111111111112,0.8999999999999999,0.7,27.6,9.0
30,3,65.71428571428571,39.42857142857143,1.6666666666666665,0.6000000000000001,0.7,27.6,9.0
31,0.25,5.65873015873016,40.74285714285715,0.1388888888888889,7.199999999999999,0.7,28.52,9.3
31,0.5,11.31746031746032,40.74285714285715,0.2777777777777778,3.5999999999999996,0.7,28.52,9.3
31,1,22.63492063492064,40.74285714285715,0.5555555555555556,1.7999999999999998,0.7,28.52,9.3
31,1.5,33.952380952380956,40.74285714285715,0.8333333333333333,1.2000000000000002,0.7,28.52,9.3
31,2,45.26984126984128,40.74285714285715,1.1111111111111112,0.8999999999999999,0.7,28.52,9.3
31,3,67.90476190476191,40.74285714285715,1.6666666666666665,0.6000000000000001,0.7,28.52,9.3
32,0.25,5.841269841269843,42.057142857142864,0.1388888888888889,7.199999999999999,0.7,29.44,9.6
32,0.5,11.682539682539685,42.057142857142864,0.2777777777777778,3.5999999999999996,0.7,29.44,9.6
32,1,23.36507936507937,42.057142857142864,0.5555555555555556,1.7999999999999998,0.7,29.44,9.6
32,1.5,35.04761904761905,42.057142857142864,0.8333333333333333,1.2000000000000002,0.7,29.44,9.6
32,2,46.73015873015874,42.057142857142864,1.1111111111111112,0.8999999999999999,0.7,29.44,9.6
32,3,70.0952380952381,42.057142857142864,1.6666666666666665,0.6000000000000001,0.7,29.44,9.6
33,0.25,6.023809523809525,43.371428571428574,0.1388888888888889,7.199999999999999,0.7,30.36,9.9
33,0.5,12.04761904761905,43.371428571428574,0.2777777777777778,3.5999999999999996,0.7,30.36,9.9
33,1,24.0952380952381,43.371428571428574,0.5555555555555556,1.7999999999999998,0.7,30.36,9.9
33,1.5,36.14285714285714,43.371428571428574,0.8333333333333333,1.2000000000000002,0.7,30.36,9.9
33,2,48.1904761904762,43.371428571428574,1.1111111111111112,0.8999999999999999,0.7,30.36,9.9
33,3,72.28571428571428,43.371428571428574,1.6666666666666665,0.6000000000000001,0.7,30.36,9.9
34,0.25,6.206349206349207,44.68571428571429,0.1388888888888889,7.199999999999999,0.7,31.28,10.2
34,0.5,12.412698412698415,44.68571428571429,0.2777777777777778,3.5999999999999996,0.7,31.28,10.2
34,1,24.82539682539683,44.68571428571429,0.5555555555555556,1.7999999999999998,0.7,31.28,10.2
34,1.5,37.23809523809524,44.68571428571429,0.8333333333333333,1.2000000000000002,0.7,31.28,10.2
